0,CHEMICAL CONSTITUENTS,ChEMBL_ID,SMILES,standard_value,units,bioactivity_class
68,Demethyl-dehydrobrusatol,,,10000.0,nM,Intermediate
69,Deacetyl-yadanzioside I,,,22.04,ug.mL-1,Active
70,Dehydrobrusatol,CHEMBL2037040,COC(=O)[C@@]12OC[C@@]34[C@@H](CC5=C(C)C(=O)C(O)=C[C@]5(C)[C@H]3[C@@H](O)[C@@H]1O)OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24,10000.0,nM,Intermediate
71,Dehydrobruceine B,,,0.046,ug.mL-1,Active
73,Quassilactone A,,,406000.0,nM,Inactive
74,Quassilactone B,,,406000.0,nM,Inactive
76,Bruceolline H,CHEMBL1922989,CC1(C)C(=O)C(=O)c2c1[nH]c1cc(O)ccc21,10000.0,nM,Intermediate
77,Bruceolline I,CHEMBL1922990,CC1(C)c2[nH]c3cc(O)ccc3c2C(=O)[C@@H]1O,10000.0,nM,Intermediate
78,Bruceolline J,CHEMBL1922991,CC1(C)c2[nH]c3ccccc3c2C(=O)[C@@H]1O,10000.0,nM,Intermediate
79,Bruceolline K,CHEMBL1922992,CC1(C)c2[nH]c3ccccc3c2C(=O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,10000.0,nM,Intermediate
80,Bruceolline L,CHEMBL1922993,CC(C)[C@@H](O)C(=O)c1c[nH]c2ccccc12,10000.0,nM,Intermediate
81,Bruceolline M,CHEMBL1922994,CC(C)(O)C(=O)Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2ccccc12,10000.0,nM,Intermediate
82,Bruceolline N,CHEMBL1922995,CC(C)(O)[C@@H](O)C[C@]1(O)C(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2ccccc21,10000.0,nM,Intermediate
83,Bruceacanthinoside,,,25000.0,nM,Inactive
86,Brujavanone C,,,28800.0,nM,Inactive
87,Brujavanone D,,,15.0,nM,Active
88,Brujavanone E,,,6.0,nM,Active
89,Brujavanone F,,,50.0,nM,Active
90,Brujavanone G,,,18700.0,nM,Inactive
93,Brujavanone J,,,100000.0,nM,Inactive
94,Brujavanone K,,,220.0,nM,Active
95,Brujavanone L,,,10000.0,nM,Intermediate
96,Brujavanone M,,,4900.0,nM,Intermediate
97,Brujavanone N,,,100000.0,nM,Inactive
